cbow,size,window,iter,mean_distance
0,50,2,5,0.34517762392835316
0,50,2,10,0.3664993283252851
0,50,2,15,0.35591873050199585
0,50,2,20,0.3889245545747235
0,50,2,40,0.41169781600415567
0,50,5,5,0.33395499652927707
0,50,5,10,0.3569593904485366
0,50,5,15,0.3428718799875018
0,50,5,20,0.3849451145936057
0,50,5,40,0.4094258204496841
0,50,10,5,0.3402950964190203
0,50,10,10,0.3666573460535273
0,50,10,15,0.38819216581688065
0,50,10,20,0.39428288167161185
0,50,10,40,0.41377942232443304
0,50,20,5,0.35654811030661065
0,50,20,10,0.38690136226426963
0,50,20,15,0.4005606378689989
0,50,20,20,0.39364127751449285
0,50,20,40,0.40363612274795
0,100,2,5,0.4291720073027776
0,100,2,10,0.4604978973652312
0,100,2,15,0.47773411366672935
0,100,2,20,0.4905298633215325
0,100,2,40,0.517566317688463
0,100,5,5,0.3943604449645304
0,100,5,10,0.44626112831869624
0,100,5,15,0.46646384733102697
0,100,5,20,0.4806165969256955
0,100,5,40,0.5033142929181983
0,100,10,5,0.41956750069029025
0,100,10,10,0.45366176152241605
0,100,10,15,0.47115844239530447
0,100,10,20,0.48556791787299525
0,100,10,40,0.4998889005542682
0,100,20,5,0.43815381265871056
0,100,20,10,0.4686450450788867
0,100,20,15,0.47806738034155283
0,100,20,20,0.4823410709432164
0,100,20,40,0.48962682811703606
0,200,2,5,0.5035264245587747
0,200,2,10,0.5639576825799462
0,200,2,15,0.5937380544812331
0,200,2,20,0.612052519232362
0,200,2,40,0.6421298482444718
0,200,5,5,0.5021774846166583
0,200,5,10,0.5539440336689918
0,200,5,15,0.5828490407314827
0,200,5,20,0.5971083360539357
0,200,5,40,0.6250212364665775
0,200,10,5,0.5161383701279959
0,200,10,10,0.5634478958402388
0,200,10,15,0.5852692059590514
0,200,10,20,0.5997880782611889
0,200,10,40,0.6232507685685841
0,200,20,5,0.5352099499530036
0,200,20,10,0.5765822207088599
0,200,20,15,0.5878736322845127
0,200,20,20,0.5644873215717428
0,200,20,40,0.6077492592845332
1,50,2,5,0.467631766991352
1,50,2,10,0.4643457778897688
1,50,2,15,0.4637437691471552
1,50,2,20,0.4652267743725056
1,50,2,40,0.46762186541623
1,50,5,5,0.4740943843622328
1,50,5,10,0.46373314071977445
1,50,5,15,0.45700310808913835
1,50,5,20,0.4551128610124794
1,50,5,40,0.4527744113276288
1,50,10,5,0.49104071167333735
1,50,10,10,0.4722435371878022
1,50,10,15,0.4648223936475103
1,50,10,20,0.4610857286078296
1,50,10,40,0.4606164872221052
1,50,20,5,0.5051471327940674
1,50,20,10,0.4941780415007002
1,50,20,15,0.4904559329389347
1,50,20,20,0.4908173706092241
1,50,20,40,0.48577025067467594
1,100,2,5,0.536029686082252
1,100,2,10,0.5467294606982899
1,100,2,15,0.5524292525873449
1,100,2,20,0.5572023569925327
1,100,2,40,0.563622543869017
1,100,5,5,0.5397524200155384
1,100,5,10,0.5340340034828804
1,100,5,15,0.5313253967464272
1,100,5,20,0.5310425539794323
1,100,5,40,0.5338634009122567
1,100,10,5,0.5533615914975297
1,100,10,10,0.547592087885212
1,100,10,15,0.5463003994781437
1,100,10,20,0.5462575340912743
1,100,10,40,0.5520464505273293
1,100,20,5,0.5785796125428981
1,100,20,10,0.5699194919319963
1,100,20,15,0.5700759936767729
1,100,20,20,0.5737184794822181
1,100,20,40,0.5790454984939426
1,200,2,5,0.6040199990919043
1,200,2,10,0.6350529587378392
1,200,2,15,0.6480900661643897
1,200,2,20,0.654598491785485
1,200,2,40,0.6674618155041597
1,200,5,5,0.5993143238516169
1,200,5,10,0.6139871856971241
1,200,5,15,0.6190069592247175
1,200,5,20,0.6214216555064901
1,200,5,40,0.6292300478581542
1,200,10,5,0.6132998580766973
1,200,10,10,0.6228792535310097
1,200,10,15,0.6297027164369335
1,200,10,20,0.6334917399529221
1,200,10,40,0.6388817021677544
1,200,20,5,0.6413035201287617
1,200,20,10,0.6535650741884373
1,200,20,15,0.6562207100026067
1,200,20,20,0.6627352770141982
1,200,20,40,0.6699103428000346
