cbow,size,window,iter,mean_distance
0,25,1,1,0.283747884092695
0,25,1,3,0.2802136095057437
0,25,1,5,0.28287175453523006
0,25,1,7,0.2835665329634148
0,25,1,10,0.2878564177859365
0,25,2,1,0.25435205040895714
0,25,2,3,0.264419986059721
0,25,2,5,0.26318421600040964
0,25,2,7,0.26613863332434956
0,25,2,10,0.26819513712286164
0,25,3,1,0.24044004281509515
0,25,3,3,0.22844342084890443
0,25,3,5,0.25317247080459965
0,25,3,7,0.2592496106265882
0,25,3,10,0.2635043830470967
0,25,4,1,0.2360696427748074
0,25,4,3,0.2499114792360123
0,25,4,5,0.25652445411818553
0,25,4,7,0.2613849603398947
0,25,4,10,0.26933988259828134
0,25,5,1,0.1960762312581331
0,25,5,3,0.24595647521418776
0,25,5,5,0.2563512233646279
0,25,5,7,0.2639101008447995
0,25,5,10,0.2719422036811664
0,50,1,1,0.3259734263554508
0,50,1,3,0.35525034168189945
0,50,1,5,0.36635950762635344
0,50,1,7,0.3739830454859941
0,50,1,10,0.38492300933419465
0,50,2,1,0.30340248409306636
0,50,2,3,0.3348852735128331
0,50,2,5,0.3111188988337019
0,50,2,7,0.35523521802519986
0,50,2,10,0.3655830972627484
0,50,3,1,0.29167684431369756
0,50,3,3,0.3199288221790593
0,50,3,5,0.334030150629892
0,50,3,7,0.34688286309739186
0,50,3,10,0.3315944143409569
0,50,4,1,0.287662047685376
0,50,4,3,0.32199863683895746
0,50,4,5,0.33981126210483836
0,50,4,7,0.35316691332141115
0,50,4,10,0.3604182714094516
0,50,5,1,0.2808791619056268
0,50,5,3,0.3181127321624458
0,50,5,5,0.2685149643138866
0,50,5,7,0.34332720499282415
0,50,5,10,0.3564344287249273
0,75,1,1,0.3386775012372174
0,75,1,3,0.39228241666238506
0,75,1,5,0.4145269002654839
0,75,1,7,0.4278877777270958
0,75,1,10,0.44022412164944413
0,75,2,1,0.3243615427976105
0,75,2,3,0.37635366704994455
0,75,2,5,0.3922537419322896
0,75,2,7,0.40429926877002087
0,75,2,10,0.3988988568339449
0,75,3,1,0.31435185018223855
0,75,3,3,0.36452227802661613
0,75,3,5,0.3850204976363109
0,75,3,7,0.3934101279512986
0,75,3,10,0.408830481481233
0,75,4,1,0.30628760650351466
0,75,4,3,0.35730924138449155
0,75,4,5,0.38765700514838763
0,75,4,7,0.4053656046201777
0,75,4,10,0.41869182334281
0,75,5,1,0.307247221324179
0,75,5,3,0.36001410199584283
0,75,5,5,0.38021417075862163
0,75,5,7,0.3926146524271744
0,75,5,10,0.406207321020851
0,100,1,1,0.32597915986834863
0,100,1,3,0.41778515904798236
0,100,1,5,0.447114888688826
0,100,1,7,0.45591536647629644
0,100,1,10,0.47411427514258014
0,100,2,1,0.33143432578596793
0,100,2,3,0.405182323402717
0,100,2,5,0.4286767056757362
0,100,2,7,0.4445295690665921
0,100,2,10,0.4600092926921416
0,100,3,1,0.32655751347209133
0,100,3,3,0.394374624576575
0,100,3,5,0.4189076223097806
0,100,3,7,0.43436819972421736
0,100,3,10,0.4517705871887856
0,100,4,1,0.3177186453288254
0,100,4,3,0.39892630879521185
0,100,4,5,0.4261325484489214
0,100,4,7,0.3622135069770616
0,100,4,10,0.46181326558127855
0,100,5,1,0.32384514347780347
0,100,5,3,0.3746237108923293
0,100,5,5,0.41630077294228
0,100,5,7,0.430597783762065
0,100,5,10,0.4471471444776941
1,25,1,1,0.3976114751242401
1,25,1,3,0.36948280494496166
1,25,1,5,0.35916299129877727
1,25,1,7,0.3599384357579892
1,25,1,10,0.3469416776983114
1,25,2,1,0.44744366909786415
1,25,2,3,0.40583781327421625
1,25,2,5,0.39192151572812906
1,25,2,7,0.3869512497179777
1,25,2,10,0.3803313447352937
1,25,3,1,0.46647993438660973
1,25,3,3,0.4225829673449928
1,25,3,5,0.40334399493336004
1,25,3,7,0.38811534505824896
1,25,3,10,0.3831273189534064
1,25,4,1,0.48375447289798174
1,25,4,3,0.42693615121793166
1,25,4,5,0.40219057090052
1,25,4,7,0.39230800345877465
1,25,4,10,0.3867271360795673
1,25,5,1,0.4956102575023848
1,25,5,3,0.4351758927845199
1,25,5,5,0.40867257708888427
1,25,5,7,0.39816338575784105
1,25,5,10,0.3902952117987355
1,50,1,1,0.455758236236636
1,50,1,3,0.44731892787606903
1,50,1,5,0.4461233546406491
1,50,1,7,0.452602295635591
1,50,1,10,0.4572692167801373
1,50,2,1,0.4963153784160677
1,50,2,3,0.47439848785768857
1,50,2,5,0.46766540064594336
1,50,2,7,0.4653902929030137
1,50,2,10,0.46039769684078197
1,50,3,1,0.5193397892587609
1,50,3,3,0.4887468318846432
1,50,3,5,0.47534734231619774
1,50,3,7,0.4660301616531396
1,50,3,10,0.46253917135465267
1,50,4,1,0.5242622955834609
1,50,4,3,0.48778070556307923
1,50,4,5,0.4760101683911538
1,50,4,7,0.4667487630405232
1,50,4,10,0.4608936887223175
1,50,5,1,0.5364280142465517
1,50,5,3,0.49551598742111247
1,50,5,5,0.4787986091251739
1,50,5,7,0.47135444819040256
1,50,5,10,0.46289970477038467
1,75,1,1,0.4780507429888182
1,75,1,3,0.492136641252944
1,75,1,5,0.5032998960178127
1,75,1,7,0.5093203865854616
1,75,1,10,0.5200156073707202
1,75,2,1,0.5177937326132054
1,75,2,3,0.5108001454777059
1,75,2,5,0.5043841338135465
1,75,2,7,0.5068165737433966
1,75,2,10,0.5105158889756167
1,75,3,1,0.5412975583145785
1,75,3,3,0.5200051091015453
1,75,3,5,0.5129661583101747
1,75,3,7,0.507061182872002
1,75,3,10,0.5033471541482312
1,75,4,1,0.5507359876836153
1,75,4,3,0.5226514988846492
1,75,4,5,0.5115938762481556
1,75,4,7,0.508830321230441
1,75,4,10,0.505614647729085
